date,matric_class,zaf_percent_learners_passed_with_30percent,zaf_percent_learners_passed_with_40percent,zaf_percent_learners_passed_with_50percent,ec_percent_learners_passed_with_30percent,ec_percent_learners_passed_with_40percent,ec_percent_learners_passed_with_50percent,fs_percent_learners_passed_with_30percent,fs_percent_learners_passed_with_40percent,fs_percent_learners_passed_with_50percent,gp_percent_learners_passed_with_30percent,gp_percent_learners_passed_with_40percent,gp_percent_learners_passed_with_50percent,kzn_percent_learners_passed_with_30percent,kzn_percent_learners_passed_with_40percent,kzn_percent_learners_passed_with_50percent,lp_percent_learners_passed_with_30percent,lp_percent_learners_passed_with_40percent,lp_percent_learners_passed_with_50percent,mp_percent_learners_passed_with_30percent,mp_percent_learners_passed_with_40percent,mp_percent_learners_passed_with_50percent,nw_percent_learners_passed_with_30percent,nw_percent_learners_passed_with_40percent,nw_percent_learners_passed_with_50percent,nc_percent_learners_passed_with_30percent,nc_percent_learners_passed_with_40percent,nc_percent_learners_passed_with_50percent,wc_percent_learners_passed_with_30percent,wc_percent_learners_passed_with_40percent,wc_percent_learners_passed_with_50percent
"2009-12-31","2009","46","29.4","0","37.5","21.3","0","53.3","32.9","0","55.7","39.6","0","44.6","27.3","0","39.2","23.4","0","38.6","23.7","0","52","33.7","0","43.6","25.6","0","64.9","48.8","0"
"2010-12-31","2010","47.4","30.9","0","37.3","21.3","0","48.4","31.1","0","59.6","43.6","0","47.6","29.4","0","39.6","23.9","0","41.4","26.6","0","53.4","35.1","0","52.3","34.7","0","66","50.6","0"
"2011-12-31","2011","46.3","30.1","0","33.5","19.6","0","53.9","34.6","0","61.3","45","0","39.5","23.2","0","44.5","27.3","0","46.2","29.9","0","53.8","34.2","0","50.5","31.2","0","68.7","54.2","0"
"2012-12-31","2012","54","35.7","0","38.1","21.9","0","64.8","43.3","0","71","52.4","0","48.1","29.6","0","52.4","34","0","53.1","34.7","0","59.6","37.7","0","54.9","36.5","0","73.5","56.9","0"
"2013-12-31","2013","59.1","40.5","0","43.4","26.4","0","71.1","49.8","0","73.6","54.4","0","53.6","35.4","0","59.3","40","0","58.3","39.8","0","67.4","44.8","0","57.7","38.2","0","73.3","56.8","0"
"2014-12-31","2014","53.5","35.1","0","42","25.1","0","65.8","44.5","0","69.3","50.7","0","40.7","24.3","0","56.9","35.8","0","56.6","35.6","0","61.7","40.3","0","63.4","42.4","0","73.9","56.6","0"
"2015-12-31","2015","49.1","31.9","0","37.3","21.8","0","69.1","46","0","69.6","49.8","0","33.2","20","0","52.1","32.4","0","55.5","36","0","59.6","37.3","0","57","36.1","0","74.9","57.3","0"
"2016-12-31","2016","51.1","33.5","0","37.5","22.2","0","71.3","48.6","0","68.7","49.6","0","37.9","23","0","53.9","33.6","0","53.6","34.2","0","62.7","40.5","0","60.7","40","0","77.2","60.3","0"
"2017-12-31","2017","51.9","35.1","0","42.3","26.5","0","70.6","49.3","0","67.7","49.6","0","41.6","27.3","0","50.1","32","0","47.8","31","0","61.2","40","0","57.4","37.8","0","73.9","57","0"
"2018-12-31","2018","58","37.1","0","45.5","25.9","0","74.3","49.3","0","74.7","52.5","0","50.6","31.3","0","54.9","33.2","0","54.2","33.2","0","68.9","43.4","0","59","37.8","0","76","56.7","0"
"2019-12-31","2019","54.6","35","0","41.8","23.7","0","68.5","45","0","67.8","47.7","0","48.5","29.9","0","53.1","32.3","0","51.6","32.2","0","62.2","38.9","0","56.6","34.4","0","70.2","52.6","0"
"2020-12-31","2020","53.8","35.6","22.3","39.7","23.6","13.6","66.3","42.7","25.2","65.4","45.9","30.5","51.2","33.4","20.4","49.7","31.5","18.8","50.9","33.4","20.6","63.4","42.1","25.7","55.3","34.9","21.2","71.6","54.4","39.8"
"2021-12-31","2021","57.6","37.6","23","46.6","28","16","66.6","42.8","25","68.2","48.3","31.7","54.2","35","20.7","54.5","33.7","19.5","54","34.7","20.6","71.5","47.7","28.5","59.2","39.1","23.2","73.4","54.5","39.1"
"2022-12-31","2022","55","36","22","46.1","28.1","16","64.6","41.1","24.6","62.7","44.4","28.9","54.6","35","20.7","49.9","30.8","18","52.8","34.3","20.5","59.9","37.9","22.3","51.5","32.6","20","67.9","51.6","37.8"
"2023-12-31","2023","63.5","43.6","27.5","57.4","37.1","21.8","69.9","46.9","29.2","69.1","49.8","33.5","64.2","44.2","27.2","60.2","40.1","24.6","58","39.1","24.3","66.7","44.4","26.8","57","36.4","21.7","75.4","58.9","43"
